Entry	Entry name	Status	Protein names	Gene names	Organism	Length	EC number
P14697	PHAB_CUPNH	reviewed	Acetoacetyl-CoA reductase (EC 1.1.1.36)	phaB phbB H16_A1439	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	246	1.1.1.36
P39831	YDFG_ECOLI	reviewed	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	ydfG b1539 JW1532	Escherichia coli (strain K12)	248	1.1.1.381; 1.1.1.298
P80702	DIDH_COMTE	reviewed	3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase (3-alpha-HSD) (EC 1.1.1.50) (3-alpha-hydroxysteroid dehydrogenase/3-oxosteroid reductase) (HSD28) (Hydroxyprostaglandin dehydrogenase)	hsdA	Comamonas testosteroni (Pseudomonas testosteroni)	257	1.1.1.50
P07914	BAIA1_CLOSV	reviewed	3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 1/3 (EC 1.1.1.395) (3alpha-hydroxysteroid dehydrogenase 1/3) (3alpha-HSDH 1/3) (Bile acid-inducible protein BaiA1) (Bile acid-inducible protein BaiA3)	baiA1; baiA3	Clostridium scindens (strain JCM 10418 / VPI 12708)	249	1.1.1.395
Q9RA05	LIMC_RHOER	reviewed	,(-)-trans-carveol dehydrogenase (EC 1.1.1.n4) ((4R,,6S)-carveol dehydrogenase) (CDH) (Carveol dehydrogenase),	limC	Rhodococcus erythropolis (Arthrobacter picolinophilus)	277	1.1.1.n4
Q8KES3	SPRE_CHLTE	reviewed	Sepiapterin reductase (SPR) (cSR) (EC 1.1.1.325)	CT0609	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)	244	1.1.1.325
P9WGS9	DPRE2_MYCTU	reviewed	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase (EC 1.1.1.333) (Decaprenyl-phospho-2'-keto-D-arabinose reductase) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE2) (Decaprenyl-phosphoribose 2'-epimerase subunit 2) (NAD-dependent decaprenylphosphoryl-D-2-keto-erythropentose reductase)	dprE2 Rv3791 MTCY13D12.25	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	254	1.1.1.333
Q9WXG7	DPDD_ALCFA	reviewed	,Cis-3,,4-dihydrophenanthrene-3,,4-diol dehydrogenase (EC 1.3.1.49) (Cis-phenanthrene dihydrodiol dehydrogenase) (PDD dehydrogenase),	phnB	Alcaligenes faecalis	277	1.3.1.49
Q48436	BUDC_KLEPN	reviewed	,Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,,3-butanediol dehydrogenase),	budC	Klebsiella pneumoniae	256	1.1.1.304
Q8RJB2	BZRD_BACCE	reviewed	Benzil reductase ((S)-benzoin forming) (EC 1.1.1.320)	yueD	Bacillus cereus	249	1.1.1.320
Q82IY9	PTLF_STRAW	reviewed	1-deoxy-11-beta-hydroxypentalenate dehydrogenase (EC 1.1.1.340) (Neopentalenolactone biosynthesis protein F)	ptlF SAV_2993	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	270	1.1.1.340
