Entry	Entry name	Status	Protein names	Gene names	Organism	Length	EC number
P42799	GSA1_ARATH	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1, chloroplastic (AtGSA1) (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	GSA1 HEML1 At5g63570 MBK5.3	Arabidopsis thaliana (Mouse-ear cress)	474	5.4.3.8
P50457	PUUE_ECOLI	reviewed	4-aminobutyrate aminotransferase PuuE (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase)	puuE goaG b1302 JW1295	Escherichia coli (strain K12)	421	2.6.1.19
P50554	GABT_RAT	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT) [Cleaved into: 4-aminobutyrate aminotransferase, brain isoform; 4-aminobutyrate aminotransferase, liver isoform]	Abat Gabat	Rattus norvegicus (Rat)	500	2.6.1.19; 2.6.1.22
P61922	GABT_MOUSE	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	Abat Gabat	Mus musculus (Mouse)	500	2.6.1.19; 2.6.1.22
P80147	GABT_PIG	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	Sus scrofa (Pig)	500	2.6.1.19; 2.6.1.22
Q9FNK4	OAT_ARATH	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase)	DELTA-OAT At5g46180 MCL19.24	Arabidopsis thaliana (Mouse-ear cress)	475	2.6.1.13
Q6ZKV8	BIODA_ORYSJ	reviewed	Bifunctional dethiobiotin synthetase/7,8-diamino-pelargonic acid aminotransferase, mitochondrial (Bifunctional BIO3-BIO1 protein) [Includes: Dethiobiotin synthetase (EC 6.3.3.3) (DTB synthetase) (DTBS) (Protein BIOTIN AUXOTROPH 3); 7,8-diamino-pelargonic acid aminotransferase (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Adenosylmethionine-8-amino-7-oxononanoate aminotransferase) (EC 2.6.1.62) (Diaminopelargonic acid synthase) (Protein BIOTIN AUXOTROPH 1)]	BIO3-BIO1 BIO1 BIO3 Os08g0245400 LOC_Os08g14770 OJ1033_B09.17 OsJ_26590	Oryza sativa subsp. japonica (Rice)	821	6.3.3.3; 2.6.1.62
P9WQ81	BIOA_MYCTU	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA Rv1568 MTCY336.35c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	437	2.6.1.62
Q9I700	BAUA_PSEAE	reviewed	Beta-alanine--pyruvate aminotransferase (Beta-A--Py AT) (EC 2.6.1.18) (Beta-alanine--pyruvate transaminase) (Omega-amino acid aminotransferase) (Omega-amino acid AT) (Omega-amino acid--pyruvate aminotransferase) (Omega-APT)	bauA PA0132	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	448	2.6.1.18
B0F481	BIODA_ARATH	reviewed	Bifunctional dethiobiotin synthetase/7,8-diamino-pelargonic acid aminotransferase, mitochondrial (Bifunctional BIO3-BIO1 protein) [Includes: Dethiobiotin synthetase (EC 6.3.3.3) (DTB synthetase) (DTBS) (Protein BIOTIN AUXOTROPH 3); 7,8-diamino-pelargonic acid aminotransferase (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Adenosylmethionine-8-amino-7-oxononanoate aminotransferase) (EC 2.6.1.62) (Diaminopelargonic acid synthase) (Protein BIOTIN AUXOTROPH 1)]	BIO3-BIO1 BIO1 BIO3 At5g57590 MUA2.17/MUA2.18	Arabidopsis thaliana (Mouse-ear cress)	833	6.3.3.3; 2.6.1.62
